delivery_id,product_id,quantity,delivery_date,supplier_id,region_id,country_id
1,91,340.0,2022-01-01 00:00:00,4.0,24,6
2,51,541.0,2022-01-01 01:00:00,7.0,27,3
3,59,,2022-01-01 02:00:00,5.0,22,1
4,16,,2022-01-01 03:00:00,20.0,14,4
5,45,972.0,2022-01-01 04:00:00,11.0,29,7
6,18,562.0,2022-01-01 05:00:00,1.0,33,7
7,76,157.0,2022-01-01 06:00:00,17.0,7,2
8,1,573.0,2022-01-01 07:00:00,12.0,25,2
9,48,,2022-01-01 08:00:00,5.0,34,4
10,49,184.0,2022-01-01 09:00:00,,2,8
11,10,84.0,2022-01-01 10:00:00,,25,6
12,99,37.0,,3.0,22,1
13,28,474.0,,8.0,27,2
14,28,670.0,2022-01-01 13:00:00,13.0,34,9
15,24,594.0,2022-01-01 14:00:00,4.0,25,7
16,21,479.0,2022-01-01 15:00:00,11.0,31,9
17,51,26.0,2022-01-01 16:00:00,20.0,28,4
18,53,242.0,2022-01-01 17:00:00,1.0,19,7
19,56,213.0,2022-01-01 18:00:00,6.0,25,10
20,84,215.0,2022-01-01 19:00:00,14.0,23,5
21,92,346.0,2022-01-01 20:00:00,18.0,17,8
22,32,882.0,2022-01-01 21:00:00,,27,1
23,38,722.0,2022-01-01 22:00:00,6.0,21,3
24,30,296.0,2022-01-01 23:00:00,15.0,10,4
25,70,738.0,,11.0,29,10
26,38,117.0,2022-01-02 01:00:00,10.0,6,7
27,85,867.0,2022-01-02 02:00:00,8.0,34,10
28,37,889.0,2022-01-02 03:00:00,16.0,32,4
29,55,78.0,2022-01-02 04:00:00,12.0,19,10
30,76,678.0,2022-01-02 05:00:00,13.0,20,1
31,63,73.0,2022-01-02 06:00:00,17.0,7,8
32,62,779.0,2022-01-02 07:00:00,12.0,16,9
33,26,778.0,2022-01-02 08:00:00,,15,4
34,43,927.0,,9.0,18,5
35,2,157.0,2022-01-02 10:00:00,16.0,4,6
36,43,,2022-01-02 11:00:00,19.0,30,1
